Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn
Data Scientist,Employer Provided Salary:$75 Per Hour,"Position Title: Newborn Screening Data Scientist
Location: Salt Lake City, UT, Remote
Position Type: Contract, Part-time (20hr/week)
Interview Process: Webcam/Skype
Position Duration: 1 Yr
Job Description:
The Scope of Work is to provide data scientist consulting services, on a fee for hourly services rendered. Hourly rates are fully loaded (including all costs to provide the consulting services). The position may be remote within the United States. The contracted data scientist will work with the Screening Program and other data scientists/graduate students.",3.2,"Info Origin Inc.
3.2",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1,1,75,75,75.0,"Info Origin Inc.
",-1,-1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$120K - $250K,"Company Overview:
Parabolic is a career coaching and headhunting agency that helps with the recruitment process for both businesses and applicants. We focus on the tech, finance, and consulting industries. Here is what is included in Parabolic’s career coaching service.
Please note we are not hiring on behalf of Parabolic, but we are a third-party staffing agency and career coaching company who can help you find high-paying jobs opportunities as described below.
Coaching sessions with a full-time investment banker, consultant, or engineer
Resume and cover letter reviews that pass through the ATS system.
Access to our entire database of resources that includes over 200 application links, deadlines, email templates, and interview prep materials.",-1.0,Parabolic USA,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,0,1,120,250,185.0,Parabolic USA, NY,-1,0,0,0,0,0
Data Scientist,Employer Provided Salary:$80 - $100 Per Hour,"Heavy financial experience
SQL
Be able to Curate the market data and use it like python library
Analytic engineering
Financial sql snowflake dbt at the transform layer
Data analytic and transform raw data
Job Type: Contract
Salary: $80.00 - $100.00 per hour",-1.0,Intuitive Cloud,Remote,-1,-1,-1,-1,-1,-1,1,1,80,100,90.0,Intuitive Cloud,-1,-1,1,0,0,0,0
Data Scientist,$90K - $126K (Glassdoor est.),"Job Overview
Calling all foodie techies! We have an exciting opportunity that combines your love for food and tech.
The Data Scientist will be responsible for powering our hyperlocal food delivery business with predictive data science and machine learning models. This role will focus on building and deploying production-grade data science as a central cog in Chowbus' application machinery.
What You'll Focus On
Lead the development and improvement of Chowbus' real-time logistics engine and build algorithms that involve both data and operational science. Build enterprise-grade algorithms and models that improve the experience of Customers, Restaurants and Drivers.",3.5,"Chowbus
3.5","Chicago, IL",51 to 200 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Less than $1 million (USD),0,0,90,126,108.0,"Chowbus
", IL,4,0,0,0,0,0
Data Scientist,$75K - $114K (Glassdoor est.),"PLEASE NOTE: The clients would like recruiting with a max bill rate of *** Please submit all bids with a 1.00 placeholder bid. Once bids are reviews and interview selections are made, bids will be submitted as BAFO when requested. Please DO NOT use Cover sheets with bids listed.

Full SOW requirement and MMR template are available to download in the attachments section.
For your bid to be complete. You must include the following
o ***/hr. bill rate
o Evidence of your candidate authorizing you to represent. (RTR)
o A vendor fully completed MMR (Template is in the attachment section of posting)
o Your candidate's resume

Preferred/required skills:
Scoring:
25%-Python knowledge and experience
30%-Machine Learning expertise
10%-AWS Technologies experience (S3, Sagemaker, etc.)
15%-Previous experience working on biological data sheets

In the event of a tie in the total score between candidates in the top/winning positions, the technical score will be calculated (sans the cost factor), and the highest technical scorer of the tied candidates will be awarded the position. Should this method fail to yield an ultimate ""winner,"" the candidates will be asked to participate in a best and final offer process.",4.8,"NR Consulting LLC
4.8","Taylorsville, UT",201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,75,114,94.5,"NR Consulting LLC
", UT,3,1,0,0,1,0
Data Scientist,Employer Provided Salary:$140K - $160K,"Job Duration: Data Scientist.
Job Duration: Full Time.
Job Location: Remote + Travel.
Job Description:
Developing, Deploying and Supporting AI/ML models, together with data engineering required for building & supporting the models. Additionally, build pro-active offerings for supporting future business opportunities.
Responsibilities:",4.2,"Kaygen
4.2",Remote,51 to 200 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),0,1,140,160,150.0,"Kaygen
",-1,17,0,0,0,0,0
Data Scientist (Remote),Employer Provided Salary:$88K - $220K,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity is fully remote and does not require you to be located in any particular state within the US. We welcome applicants from throughout the US.",3.5,"Yelp
3.5",Remote,5001 to 10000 Employees,2004,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),0,1,88,220,154.0,"Yelp
",-1,16,0,0,0,0,0
Newborn Screening Data Scientist,Employer Provided Salary:$45 - $50 Per Hour,"Position: Newborn Screening Data Scientist
Location: Salt Lake City, UT 84114 (Hybrid)
Duration: 12 Months Plus
Skills Mandatory:
· Python Experience
· Machine Learning expertise
· AWS, S3, Sagemaker
· Experience working on biological data sheets",4.0,"STM Consulting Inc
4.0",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,1,1,45,50,47.5,"STM Consulting Inc
",-1,-1,1,0,0,1,0
Data Scientist (Junior) - Evernorth,Employer Provided Salary:$75K - $124K,"Internal Title: Data Science Lead Analyst (HB3)
External Title: Data Scientist (Junior)

Role Summary
As a member of the Data Science (DS) Center of Expertise (CoE), the DS Lead Analyst is responsible for supporting integral components of the ML life cycle: data acquisition, data preparation/processing, & feature engineering and supporting MLOps gaps in our current ML lifecycle (e.g., repeatable feature engineering workflows). Reporting to the Head of MLOps & Geospatial DS, the DS Lead Analyst will collaborate with Data Scientists, Business Analysts, and business stakeholders to iteratively deliver features for ML models currently in production and in development.

This position is with Evernorth, a new business within the Cigna Corporation.


data acquisition, data preparation/processing, and feature engineering

Support data wrangling (e.g., balancing computationally efficient code and readability) in python and SQL

SME on a wide array of data sources e.g., claims, geospatial, consumer, business, and other vendor or open data sources

Recommend features to Data Scientists for ML development based on business problem, stakeholder SME recommendations, and performance & utilization trends across Data Science CoE teams


Bachelors degree in a quantitative field is preferred (e.g., statistics, public health, math, biology, computer science)

Some experience with python and SQL via coursework, personal projects, or work projects is a must

Values diversity, growth mindset, and improving health outcomes of our customers

Experience building statistical models, executing descriptive analytics, and preparing data visualizations

Comfort communicating with highly technical team members

Experience working with a variety data sources (e.g., survey, claims, EHR, geospatial, open, vendor, etc.)

For this position, we anticipate offering an annual salary of $74,600 - $124,400, depending on relevant factors, including experience and geographic location.

This role is also anticipated to be eligible to participate in an annual bonus plan.

Helping our customers achieve healthier, more secure lives is at the heart of what we do. While you take care of our customers, we’ll take care of you through a comprehensive benefits program that helps you be at your best. Starting on day one of your employment, you’ll be offered several health-related benefits including medical, vision, dental, and best in class well-being and behavioral health programs. We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and dozens of corporate discounts on essentials you use every day. For more details on our employee benefits programs, please visit the “Life at Cigna” tab on our careersite: www.cigna.com/careers

About Evernorth
Evernorth, Cigna Corporation’s health services segment, exists to elevate health for all. We're building on our legacy and redefining health care as we know it. Unbiased in how we think, we create without limitation. We partner without constraints, deliver value differently and act in the interest of humanity. Solving across silos, closing gaps in care, and empowering clients, customers, and people everywhere to move onward and upward. When you work with us, you’ll be empowered to solve the problems others don’t, won’t or can’t. Join us. What difference will you make?

Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.

If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.

Cigna has a tobacco-free policy and reserves the right not to hire tobacco/nicotine users in states where that is legally permissible. Candidates in such states who use tobacco/nicotine will not be considered for employment unless they enter a qualifying smoking cessation program prior to the start of their employment. These states include: Alabama, Alaska, Arizona, Arkansas, Delaware, Florida, Georgia, Hawaii, Idaho, Iowa, Kansas, Maryland, Massachusetts, Michigan, Nebraska, Ohio, Pennsylvania, Texas, Utah, Vermont, and Washington State.",3.8,"Cigna
3.8","Hartford, CT",10000+ Employees,1865,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,75,124,99.5,"Cigna
", CT,155,1,0,0,1,0
Data Scientist,Employer Provided Salary:$90 - $105 Per Hour,"Nordic Global is looking for a Data Scientist to join our Cloud Solutions team. This role will be a part of a larger Nordic project team that is delivering AWS Solutions.
REQUIRED SKILLS & EXPERIENCE
Background in Data Science and Machine Learning
Strong background with AWS SageMaker
Experience in training models with SageMaker
Experience in deploying models into production
Experience in integrating deployed model with larger data pipelines
Strong Coding background in Python and with PySpark",3.9,"Nordic Consulting Partners, Inc.
3.9",Remote,1001 to 5000 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),1,1,90,105,97.5,"Nordic Consulting Partners, Inc.
",-1,10,1,0,1,1,0
